"Source Name",Domain,Text,"Program Name","Date Accessed","Data Source"
History,google.com,"stuff nz","Google Chrome","2019-01-30 10:06:37 NZDT",Narcos-1.001
History,google.com,"cric info","Google Chrome","2019-01-30 10:13:17 NZDT",Narcos-1.001
History,google.com,"all blacks youtube","Google Chrome","2019-01-30 10:15:02 NZDT",Narcos-1.001
History,google.com,metservice,"Google Chrome","2019-01-30 10:21:39 NZDT",Narcos-1.001
History,google.com,"wid patterns","Google Chrome","2019-01-30 10:23:09 NZDT",Narcos-1.001
History,google.com,"wind patterns","Google Chrome","2019-01-30 10:23:11 NZDT",Narcos-1.001
History,google.com,truecrypt,"Google Chrome","2019-01-30 12:26:30 NZDT",Narcos-1.001
History,google.com,truecrypt,"Google Chrome","2019-01-30 12:26:53 NZDT",Narcos-1.001
History,google.com,protonmail,"Google Chrome","2019-01-30 12:34:09 NZDT",Narcos-1.001
History,google.com,ccleaner,"Google Chrome","2019-01-30 12:40:35 NZDT",Narcos-1.001
History,google.com,"dune 2 online","Google Chrome","2019-01-30 13:11:42 NZDT",Narcos-1.001
History,google.com,"stuff nz","Google Chrome","2019-01-31 09:59:20 NZDT",Narcos-1.001
History,google.com,metservice,"Google Chrome","2019-01-31 10:08:17 NZDT",Narcos-1.001
History,google.com,windpatterns,"Google Chrome","2019-01-31 10:08:23 NZDT",Narcos-1.001
History,google.com,"cric info","Google Chrome","2019-01-31 10:09:44 NZDT",Narcos-1.001
History,google.com,allblacks,"Google Chrome","2019-01-31 10:09:50 NZDT",Narcos-1.001
History,google.com,"reddit rugby","Google Chrome","2019-01-31 10:15:42 NZDT",Narcos-1.001
History,google.com,"google maps","Google Chrome","2019-01-31 10:17:23 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:07 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:07 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:24 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:24 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:24 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:30 NZDT",Narcos-1.001
History,google.com,"crystal meth","Google Chrome","2019-01-31 15:56:33 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:16 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:21 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:21 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:21 NZDT",Narcos-1.001
